Categoría,Subcategoría,Producto,Aplicaciones/Especificación,UOM,Stock inicial sugerido,Punto de reorden,Notas,Foto,Ficha tecnica,Precio de compra ,Precio de venta ,Link de video 
Automotriz ,Bolsa de tapas de valvulas #3,Tapones para Válvulas de Llantas Automotrices (Valve Caps).,Tapones para válvulas de neumáticos (Valve Caps) – Color rojo anodizado.,juegos,11,,Tapas de valvula que el juego llevan 4 tapas,,https://drive.google.com/file/d/1KkwlVx0c4IMu1ZsBRg0N0wzXtdVnHdTW/view?usp=sharing,,,https://youtube.com/shorts/wwqpcbR1PAM?si=ZMDCbK5Z4go_WJ3j
Automotriz ,Bolsa de tapas de valvulas #4,Tapones para Válvulas de Llantas Automotrices (Valve Caps).,Tapones para válvulas de neumáticos (Valve Caps) – Color azul anodizado.,juegos,11,,Tapas de valvula que el juego llevan 4 tapas,,https://drive.google.com/file/d/1gf1Yyoa9SBGRZ2AdA_MnwiL0_XpfMnkI/view?usp=sharing,,,https://youtube.com/shorts/wwqpcbR1PAM?si=ZMDCbK5Z4go_WJ3j
Automotriz ,Bolsa de tapas de valvulas #2,Tapones para Válvulas de Llantas Automotrices (Valve Caps).,Tapones para válvulas de neumáticos (Valve Caps) – Color  plateado anodizado.,juegos,36,,Tapas de valvula que el juego llevan 4 tapas,,https://drive.google.com/file/d/1gf1Yyoa9SBGRZ2AdA_MnwiL0_XpfMnkI/view?usp=sharing,,,https://youtube.com/shorts/wwqpcbR1PAM?si=ZMDCbK5Z4go_WJ3j
Automotriz ,Bolsa de tapas de valvulas #5,Tapones para Válvulas de Llantas Automotrices (Valve Caps).,Tapones para válvulas de neumáticos (Valve Caps) – Color  amarillo anodizado.,juegos,11,,Tapas de valvula que el juego llevan 4 tapas,,https://drive.google.com/file/d/1gf1Yyoa9SBGRZ2AdA_MnwiL0_XpfMnkI/view?usp=sharing,,,https://youtube.com/shorts/wwqpcbR1PAM?si=ZMDCbK5Z4go_WJ3j
Automotriz ,Bolsa de tapas de valvulas #1,Tapones para Válvulas de Llantas Automotrices (Valve Caps).,Tapones para válvulas de neumáticos (Valve Caps) – Color  negro anodizado.,juegos,47,,Tapas de valvula que el juego llevan 4 tapas,,https://drive.google.com/file/d/1gf1Yyoa9SBGRZ2AdA_MnwiL0_XpfMnkI/view?usp=sharing,,,https://youtube.com/shorts/wwqpcbR1PAM?si=ZMDCbK5Z4go_WJ3j
Automotriz ,Bolsa de elevaciòn,"Bolsa de elevación con bomba a presión marca WINBAG, peso max 135kg-300lbs",Almohadilla de aire inflable multifuncional.,unidad,3,,apertura de puertas en trabajos de cerrajería sin dañar la carrocería.,,https://drive.google.com/file/d/1rRTY_pDR6rjHXMO2K_lx6PxB6OnVsGBc/view?usp=sharing,,,
Automotriz ,Rollos de film para ventanas de autos,Rollos de film para ventanas de autos color negro casi transparente. Estan en una caja blanca,Lámina Polarizada para Vidrios Automotrices,rollos,2,,Rollos de film para ventanas de autos color negro casi transparente. Estan en una caja blanca,,https://drive.google.com/file/d/17cGP9TXd8hNPnE3_IS1SiB0bPPmCIQnt/view?usp=sharing,,,
Automotriz ,Rastreadores GPS,"Rastreadores GPS MV720 para auto, en sus respectivas cajas",Ese relé automotriz con socket y cableado también se usa bastante en sistemas de rastreo GPS,cajas,2,,"Rastreadores GPS MV720 para auto, en sus respectivas cajas",,https://drive.google.com/file/d/1K2KML2kGAivDRtlBoQXwQCBiEj4Ri3ZA/view?usp=sharing,,,
Automotriz ,Cajas con terminales electricos,"Terminales electricos de colores azul, rosa y amarillo",kit surtido de terminales aislados termo-retráctiles (Heat Shrink Terminals).,cajas ,6,,"Terminales electricos de colores azul, rosa y amarillo",,https://drive.google.com/file/d/1PJYA2nogWvC2pY-fBLBoU3jH0JmFpCgo/view?usp=sharing,,,
Automotriz ,Fusibles automotrices tipo Blade ,"Fusibles automotrices tipo Blade (paleta) – surtido estándar, mini y perfil bajo","Estos fusibles se clasifican por su amperaje (indicado en números y colores) y por su tamaño físico (Standard, Mini, Low Profile Mini).",,,,"Fusibles automotrices tipo Blade (paleta) – surtido estándar, mini y perfil bajo",,https://drive.google.com/file/d/14ReNMSUgKsZzgrRzxASzwGGuqKr_O4JE/view?usp=sharing,,,
Automotriz ,Caja de fusibles para carro ,usibles automotrices tipo Maxi (Maxi Blade Fuse),"30 Fusibles para carro, oscilan entre 20 y 60, hay grandes y pequeños",unidades,,30,"30 Fusibles para carro, oscilan entre 20 y 60, hay grandes y pequeños",,https://drive.google.com/file/d/14mIy1kbKo4kOelkVBisZSNQllPFRDnnv/view?usp=sharing,,,
